
group,index,glyph,code_point,unicode_name
1,0,,U+E000,PRIVATE USE
1,1,,U+E001,PRIVATE USE
1,2,,U+E002,PRIVATE USE
1,3,,U+E003,PRIVATE USE
1,4,,U+E004,PRIVATE USE
1,5,,U+E005,PRIVATE USE
1,6,,U+E006,PRIVATE USE
1,7,,U+E007,PRIVATE USE
1,8,,U+E008,PRIVATE USE
1,9,,U+E009,PRIVATE USE
1,10,,U+E00A,PRIVATE USE
1,11,,U+E00B,PRIVATE USE
1,12,,U+E00C,PRIVATE USE
1,13,,U+E00D,PRIVATE USE
1,14,,U+E00E,PRIVATE USE
1,15,,U+E00F,PRIVATE USE
1,16,,U+E010,PRIVATE USE
1,17,,U+E011,PRIVATE USE
1,18,,U+E012,PRIVATE USE
1,19,,U+E013,PRIVATE USE
1,20,,U+E014,PRIVATE USE
1,21,,U+E015,PRIVATE USE
1,22,,U+E016,PRIVATE USE
1,23,,U+E017,PRIVATE USE
1,24,,U+E018,PRIVATE USE
1,25,,U+E019,PRIVATE USE
1,26,,U+E01A,PRIVATE USE
1,27,,U+E01B,PRIVATE USE
1,28,,U+E01C,PRIVATE USE
1,29,,U+E01D,PRIVATE USE
1,30,,U+E01E,PRIVATE USE
1,31,,U+E01F,PRIVATE USE
1,32,,U+E020,PRIVATE USE
1,33,,U+E021,PRIVATE USE
1,34,,U+E022,PRIVATE USE
1,35,,U+E023,PRIVATE USE
1,36,,U+E024,PRIVATE USE
1,37,,U+E025,PRIVATE USE
1,38,,U+E026,PRIVATE USE
1,39,,U+E027,PRIVATE USE
1,40,,U+E028,PRIVATE USE
1,41,,U+E029,PRIVATE USE
1,42,,U+E02A,PRIVATE USE
1,43,,U+E02B,PRIVATE USE
1,44,,U+E02C,PRIVATE USE
1,45,,U+E02D,PRIVATE USE
1,46,,U+E02E,PRIVATE USE
1,47,,U+E02F,PRIVATE USE
1,48,,U+E030,PRIVATE USE
1,49,,U+E031,PRIVATE USE
1,50,,U+E032,PRIVATE USE
1,51,,U+E033,PRIVATE USE
1,52,,U+E034,PRIVATE USE
1,53,,U+E035,PRIVATE USE
1,54,,U+E036,PRIVATE USE
1,55,,U+E037,PRIVATE USE
